[2022-10-11 10:02:03,230] [builder.py:2080]           [INFO]     |  87/103 | Drama Collection | + | Rox et Rouky (1981)                                               |
[2022-10-11 10:02:03,246] [builder.py:2080]           [INFO]     |  88/103 | Drama Collection | + | Si tu tends l'oreille (1995)                                      |
[2022-10-11 10:02:03,692] [builder.py:2080]           [INFO]     |  89/103 | Drama Collection | + | Soul (2020)                                                       |
[2022-10-11 10:02:03,708] [builder.py:2080]           [INFO]     |  90/103 | Drama Collection | + | Souvenirs de Marnie (2014)                                        |
[2022-10-11 10:02:04,148] [builder.py:2080]           [INFO]     |  91/103 | Drama Collection | + | Souvenirs goutte à goutte (1991)                                  |
[2022-10-11 10:02:04,616] [builder.py:2080]           [INFO]     |  92/103 | Drama Collection | + | Superman : Le Crépuscule d'un dieu (2007)                         |
[2022-10-11 10:02:04,634] [builder.py:2080]           [INFO]     |  93/103 | Drama Collection | + | SuperMan/Batman: Ennemis publics (2009)                           |
[2022-10-11 10:02:04,652] [builder.py:2080]           [INFO]     |  94/103 | Drama Collection | + | Tarzan (1999)                                                     |
[2022-10-11 10:02:04,669] [builder.py:2080]           [INFO]     |  95/103 | Drama Collection | + | Teen Titans Le contrat Judas (2017)                               |
[2022-10-11 10:02:04,686] [builder.py:2080]           [INFO]     |  96/103 | Drama Collection | + | Toy Story 4 (2019)                                                |
[2022-10-11 10:02:04,702] [builder.py:2080]           [INFO]     |  97/103 | Drama Collection | + | La Traversée du temps (2006)                                      |
[2022-10-11 10:02:04,721] [builder.py:2080]           [INFO]     |  98/103 | Drama Collection | + | Vice-versa (2015)                                                 |
[2022-10-11 10:02:04,738] [builder.py:2080]           [INFO]     |  99/103 | Drama Collection | + | Vivo (2021)                                                       |
[2022-10-11 10:02:04,756] [builder.py:2080]           [INFO]     | 100/103 | Drama Collection | + | Volt, star malgré lui (2008)                                      |
[2022-10-11 10:02:04,838] [builder.py:2080]           [INFO]     | 101/103 | Drama Collection | + | Winnie l'Ourson : Bonne année (2002)                              |
